@id,title,dateCreated,dateModified,sameAs,storageRegion.prefLabel,storageByteCount,creator.@id,creator.name,usage.viewCount,resourceNature.displayLabel,rights.name,hasOsfAddon.prefLabel,funder.name
https://test.osf.io/cj8wg,component files,2024-10-17,2024-10-17,,United States,47657,https://test.osf.io/atryg,Blaine Butler,1,,CC-By Attribution-ShareAlike 4.0 International,,
https://test.osf.io/2g735,Cognitive Load and Task Switching in Online Learning,2025-09-17,2025-11-25,,United States,2097128,https://test.osf.io/4yjuh ; https://test.osf.io/8627p ; https://test.osf.io/qa6hy,Mark (Read) ; Mark (Write) ; Adrian Novak,3,,CC0 1.0 Universal,,
https://test.osf.io/mjfeb,VRL - UAT Hotfix Check,2025-07-10,2025-07-10,,United States,0,https://test.osf.io/p8yhf,LC Test - Creator Admin Contributor,,,,,
https://test.osf.io/hvrgu,Public Private test,2020-07-15,2020-07-15,,United States,83866,https://test.osf.io/djvfh,Alex DeHaven,,,,,
https://test.osf.io/vf3ub,Fork of Supplement project new,2025-10-16,2025-10-16,,United States,14822,https://test.osf.io/kzqhy,Ramyashri Virajamangala,,Book,Apache License 2.0,S3,"Nanoscience and Nanoengineering, Duke University"
https://test.osf.io/jxwpb,Corbin's test project,2019-11-01,2021-02-01,,United States,73248,https://test.osf.io/4ytz7,Corbin Sanders,,,,,
https://test.osf.io/58m96,Search Test,2019-04-02,2019-04-02,,United States,0,https://test.osf.io/mfnwq,Dawn Pattison,,,,,
https://test.osf.io/6gbcj,Main project,2021-05-26,2024-01-05,,United States,369,https://test.osf.io/qnaus,Futa COS Ikeda,,,Artistic License 2.0,,
https://test.osf.io/wv64f,We are testing preprint stuff,2025-10-06,2025-10-06,,United States,0,https://test.osf.io/h9jng,Crystal Steltenpohl,,,Mozilla Public License 2.0,,
https://test.osf.io/bgz78,test proj supplem,2025-10-07,2025-10-07,,Canada - Montréal,0,https://test.osf.io/cdr63,Eric Olson,,,,,
https://test.osf.io/b7wja,DC Test - Collection Project - 12192022,2022-12-19,2022-12-19,,United States,3593,https://test.osf.io/e3sfk ; https://test.osf.io/mj5yh ; https://test.osf.io/uzsqc,DC Test  Emu ; DC Test - Bat ; DC Test - Owl,,,CC0 1.0 Universal,,
https://test.osf.io/dqseg,Metadata Tutorial Evaluation,2022-08-11,2025-11-20,,United States,71296,https://test.osf.io/c78ru,Gretchen Gueguen,5,,CC-By Attribution 4.0 International,,
https://test.osf.io/3zk4a,Public Component,2024-10-07,2025-01-08,,United States,47657,https://test.osf.io/uwdve,Fake Person,1,,,,
https://test.osf.io/bgyke,c11,2020-11-16,2020-11-16,,United States,0,https://test.osf.io/kbc2d,Matt,,,,,
https://test.osf.io/9u4wm,1,2023-03-10,2023-03-27,,United States,0,https://test.osf.io/afjrt,DC Test Duck,,,CC0 1.0 Universal,,
https://test.osf.io/xfywd,Analysis,2020-03-31,2021-03-23,,United States,17097,https://test.osf.io/mraqk,Bri L Luis,,,,,
